R,c,t,beta,tc
77.5,2.69221390424941,0.648823550924107,-2.66635747819916,24.1
78,2.65356641869403,0.63950950690526,-2.71043894711121,24.1
78.5,2.61501937382044,0.630219669090726,-2.75397911212024,24.1
79,2.57656370918688,0.620951853914038,-2.79698773022752,24.1
79.5,2.53819020925841,0.611703840431276,-2.83947432220018,24.1
80,2.49988936338637,0.602473336576114,-2.88144817822388,24.1
80.5,2.46165122111779,0.593257944289387,-2.92291836294895,24.1
81,2.42346524283391,0.584055123522973,-2.96389372002233,24.1
81.5,2.38532014571943,0.574862155118382,-3.00438287620139,24.1
82,2.34720374505927,0.565676102559284,-3.04439424445324,24.1
82.5,2.30910279086706,0.55649377259896,-3.08393602651006,24.1
83,2.27100279984095,0.547311674761669,-3.12301621430475,24.1
83.5,2.23288788265123,0.538125979718947,-3.16164259034089,24.1
84,2.19474056655582,0.528932476539952,-3.19982272656454,24.1
84.5,2.15654161334504,0.519726528816156,-3.23756398155556,24.1
85,2.11826983261796,0.510503029660928,-3.27487349550837,24.1
85.5,2.07990189038587,0.501256355582996,-3.31175818250494,24.1
86,2.0414121130067,0.491980319234615,-3.3482247192775,24.1
86.5,2.00277228644833,0.482668121034048,-3.38427952958748,24.1
87,1.96395145088199,0.473312299662559,-3.41992876271244,24.1
87.5,1.92491569060516,0.463904681435844,-3.45517826447527,24.1
88,1.88562791929224,0.454436328549429,-3.49003353833667,24.1
88.5,1.8460476605778,0.444897486199251,-3.52449969310326,24.1
89,1.80613082396679,0.435277528575996,-3.55876637842908,24.1
89.5,1.7658294760756,0.42556490373422,-3.5925186194273,24.1
90,1.72509160720185,0.415747077335647,-3.62590619957564,24.1
90.5,1.68386089322392,0.405810475266965,-3.65893494368448,24.1
91,1.64207645283156,0.395740425132406,-3.69161055104366,24.1
91.5,1.59967260008225,0.385521096619823,-3.72393860179174,24.1
92,1.55657859229158,0.375135440742271,-3.75592455983155,24.1
92.5,1.51271837324966,0.364565127953168,-3.78757377554548,24.1
97.7,0.831995105287312,0.200510820374242,-3.78757377554548,24.1
