1.0	 	 	 
1.0	 202.0	 	 
0.0	 5.38	 100.0	 1.0	 ;
5.0	 5.38	 100.0	 1.0	 ;
5.441623771328839	 5.4274948686670985	 99.12492098442532	 1.0	 ;
5.883247542657678	 5.474989737334197	 98.26502437645759	 1.0	 ;
6.324871313986517	 5.522484606001296	 97.41991845760045	 1.0	 ;
6.766495085315356	 5.569979474668394	 96.58922486999461	 1.0	 ;
7.2081188566441945	 5.617474343335493	 95.7725780516073	 1.0	 ;
7.649742627973034	 5.664969212002592	 94.96962469983391	 1.0	 ;
8.091366399301872	 5.71246408066969	 94.18002326185805	 1.0	 ;
8.532990170630711	 5.759958949336789	 93.40344345022567	 1.0	 ;
8.97461394195955	 5.8074538180038875	 92.63956578218972	 1.0	 ;
9.416237713288389	 5.886133139972589	 91.40126245980657	 1.0	 ;
9.857861484617228	 5.9097037488811495	 91.03671230590137	 1.0	 ;
10.299485255946069	 5.935300872733831	 90.64409901636449	 1.0	 ;
10.741109027274907	 5.962740510183487	 90.22696846880639	 1.0	 ;
11.182732798603746	 5.991838659882967	 89.78879948855435	 1.0	 ;
11.624356569932585	 6.022411320485126	 88.55612365566692	 1.0	 ;
12.065980341261424	 6.05427449064282	 87.23284251567209	 1.0	 ;
12.507604112590263	 6.0872441690089	 85.88652917876992	 1.0	 ;
12.949227883919102	 6.121136354236221	 84.52248636500386	 1.0	 ;
13.39085165524794	 6.155767044977633	 83.14570183319596	 1.0	 ;
13.83247542657678	 6.19095223988599	 81.76084673367903	 1.0	 ;
14.274099197905619	 6.226507937614149	 80.37227742405217	 1.0	 ;
14.715722969234458	 6.262250136814959	 78.98404028672789	 1.0	 ;
15.157346740563296	 6.297994836141275	 77.59987910524796	 1.0	 ;
15.598970511892137	 6.333558034245952	 76.22324458160882	 1.0	 ;
16.040594283220976	 6.368755729781839	 74.85730560721333	 1.0	 ;
16.482218054549815	 6.403403921401794	 73.50496193384834	 1.0	 ;
16.923841825878654	 6.437318641357837	 72.16885755014061	 1.0	 ;
17.365465597207493	 6.4703433466619815	 70.85109534125323	 1.0	 ;
17.80708936853633	 6.502398456762637	 69.55275704798105	 1.0	 ;
18.24871313986517	 6.533417791011244	 68.27467549225132	 1.0	 ;
18.69033691119401	 6.563335168759248	 67.01759483728253	 1.0	 ;
19.13196068252285	 6.5920844093580895	 65.78217678619704	 1.0	 ;
19.573584453851687	 6.619599332159216	 64.56900653652133	 1.0	 ;
20.015208225180526	 6.645813756514064	 63.37859849188543	 1.0	 ;
20.456831996509365	 6.670661501774082	 62.211401734238095	 1.0	 ;
20.898455767838204	 6.69407638729071	 61.06780526164298	 1.0	 ;
21.340079539167043	 6.715992232415393	 59.94814299824368	 1.0	 ;
21.78170331049588	 6.736342856499571	 58.85269858431216	 1.0	 ;
22.22332708182472	 6.7550620788946905	 57.7817099554525	 1.0	 ;
22.66495085315356	 6.772083718952193	 56.73537372104745	 1.0	 ;
23.1065746244824	 6.782616696274694	 55.75266067968537	 1.0	 ;
23.548198395811237	 6.782616696274694	 54.86370717130462	 1.0	 ;
23.989822167140076	 6.782616696274694	 53.98093454738606	 1.0	 ;
24.431445938468915	 6.782616696274694	 53.104842019025746	 1.0	 ;
24.873069709797754	 6.782616696274694	 52.235900901851295	 1.0	 ;
25.314693481126593	 6.782616696274694	 51.37455532163139	 1.0	 ;
25.756317252455432	 6.782616696274694	 50.5212229120061	 1.0	 ;
26.197941023784274	 6.782616696274694	 49.676295504338206	 1.0	 ;
26.639564795113113	 6.782616696274694	 48.840139809685304	 1.0	 ;
27.081188566441952	 6.782616696274694	 48.01309809289298	 1.0	 ;
27.52281233777079	 6.782616696274694	 47.19548883880865	 1.0	 ;
27.96443610909963	 6.782616696274694	 46.3876074106167	 1.0	 ;
28.40605988042847	 6.782616696274694	 45.589726700294065	 1.0	 ;
28.847683651757308	 6.782616696274694	 44.80209777118712	 1.0	 ;
29.289307423086147	 6.782616696274694	 44.024950492709124	 1.0	 ;
29.730931194414985	 6.782616696274694	 43.25849416715895	 1.0	 ;
30.172554965743824	 6.782616696274694	 42.5029181486604	 1.0	 ;
30.614178737072663	 6.782616696274694	 41.758392454222594	 1.0	 ;
31.055802508401502	 6.778933970084526	 41.04735566082238	 1.0	 ;
31.49742627973034	 6.764352161716407	 40.41190201412219	 1.0	 ;
31.93905005105918	 6.74845465656487	 39.792965470103034	 1.0	 ;
32.38067382238802	 6.731266963631527	 39.190250979455904	 1.0	 ;
32.822297593716854	 6.712814591917991	 38.60347200789621	 1.0	 ;
33.2639213650457	 6.693123050425874	 38.032350056985905	 1.0	 ;
33.70554513637454	 6.672217848156792	 37.476614213731395	 1.0	 ;
34.147168907703374	 6.650124494112355	 36.9360007266853	 1.0	 ;
34.58879267903221	 6.626868497294181	 36.410252606461555	 1.0	 ;
35.03041645036105	 6.60247536670388	 35.89911924873554	 1.0	 ;
35.472040221689895	 6.5769706113430635	 35.40235607795055	 1.0	 ;
35.91366399301873	 6.55037974021335	 34.91972421008372	 1.0	 ;
36.355287764347565	 6.522728262316346	 34.450990132946494	 1.0	 ;
36.79691153567641	 6.49404168665367	 33.995925402604946	 1.0	 ;
37.23853530700525	 6.464345522226937	 33.5543063546029	 1.0	 ;
37.680159078334086	 6.433665278037754	 33.125913828761654	 1.0	 ;
38.12178284966293	 6.402026463087736	 32.710532906411274	 1.0	 ;
