1.0	 	 	 
1.0	 202.0	 	 
0.0	 5.38	 100.0	 1.0	 ;
5.0	 5.38	 100.0	 1.0	 ;
5.4299550363421005	 5.407282719697395	 99.49544491916409	 1.0	 ;
5.859910072684201	 5.43456543939479	 98.99595579438147	 1.0	 ;
6.289865109026302	 5.4618481590921855	 98.50145671010763	 1.0	 ;
6.719820145368402	 5.489130878789581	 98.0118732600953	 1.0	 ;
7.149775181710503	 5.5164135984869755	 97.52713251007157	 1.0	 ;
7.579730218052603	 5.543696318184371	 97.04716296151692	 1.0	 ;
8.009685254394704	 5.570979037881766	 96.57189451650888	 1.0	 ;
8.439640290736804	 5.598261757579161	 96.10125844359332	 1.0	 ;
8.869595327078905	 5.625544477276557	 95.63518734464918	 1.0	 ;
9.299550363421005	 5.650988536348195	 95.20458173636086	 1.0	 ;
9.729505399763106	 5.671545978239052	 94.78081886018268	 1.0	 ;
10.159460436105206	 5.693972408660181	 93.61891434244191	 1.0	 ;
10.589415472447307	 5.71812596476728	 92.40923194429814	 1.0	 ;
11.019370508789407	 5.743864783716055	 91.1576527865586	 1.0	 ;
11.449325545131508	 5.771047002662211	 89.86984486224796	 1.0	 ;
11.879280581473608	 5.799530758761452	 88.55124444880104	 1.0	 ;
12.309235617815709	 5.829174189169478	 87.20704157709463	 1.0	 ;
12.73919065415781	 5.859835431041993	 85.84216929593869	 1.0	 ;
13.169145690499908	 5.891372621534703	 84.46129643988738	 1.0	 ;
13.599100726842009	 5.923643897803315	 83.06882358830474	 1.0	 ;
14.02905576318411	 5.956507397003523	 81.66888189332255	 1.0	 ;
14.45901079952621	 5.989821256291038	 80.26533445236048	 1.0	 ;
14.88896583586831	 6.02344361282156	 78.86177990591939	 1.0	 ;
15.31892087221041	 6.057232603750795	 77.46155795210751	 1.0	 ;
15.748875908552511	 6.091046366234443	 76.06775648460149	 1.0	 ;
16.178830944894614	 6.12474303742821	 74.6832200793435	 1.0	 ;
16.608785981236714	 6.1581807544878036	 73.31055957623596	 1.0	 ;
17.038741017578815	 6.191217324583649	 71.95216635950234	 1.0	 ;
17.468696053920915	 6.223696942233727	 70.61037369970639	 1.0	 ;
17.898651090263016	 6.255445650930028	 69.28750029661201	 1.0	 ;
18.328606126605116	 6.286288232883363	 67.98565680196717	 1.0	 ;
18.758561162947217	 6.316049470304544	 66.70674550245944	 1.0	 ;
19.188516199289317	 6.34455414540438	 65.4524752396717	 1.0	 ;
19.618471235631418	 6.371627040393682	 64.22437640007809	 1.0	 ;
20.04842627197352	 6.397092937483263	 63.02381585208629	 1.0	 ;
20.47838130831562	 6.42077661888393	 61.852011734105574	 1.0	 ;
20.90833634465772	 6.442502866806499	 60.710048022591145	 1.0	 ;
21.338291380999816	 6.462096463461776	 59.598888832042974	 1.0	 ;
21.768246417341917	 6.479382191060575	 58.51939242016145	 1.0	 ;
22.198201453684018	 6.494184831813705	 57.472324890993974	 1.0	 ;
22.628156490026118	 6.506329167931977	 56.45837360720471	 1.0	 ;
23.05811152636822	 6.515640442822345	 55.478156412980375	 1.0	 ;
23.48806656271032	 6.522021948154397	 54.53158619526022	 1.0	 ;
23.91802159905242	 6.5255422976726605	 53.617222722117475	 1.0	 ;
24.34797663539452	 6.5262911690923024	 52.73355586934443	 1.0	 ;
24.77793167173662	 6.5243582401284925	 51.87917795688387	 1.0	 ;
25.20788670807872	 6.519833188496397	 51.052774371317824	 1.0	 ;
25.63784174442082	 6.512805691911184	 50.253115126024426	 1.0	 ;
26.067796780762922	 6.5033654280880215	 49.47904724602717	 1.0	 ;
26.497751817105023	 6.491602074742079	 48.729487879573234	 1.0	 ;
26.927706853447123	 6.477605309588519	 48.003418051289124	 1.0	 ;
27.357661889789224	 6.461464810342515	 47.29987698272977	 1.0	 ;
27.787616926131324	 6.443270254719234	 46.617956915557194	 1.0	 ;
28.217571962473425	 6.423111320433843	 45.95679838070134	 1.0	 ;
28.647526998815525	 6.401077685201509	 45.31558586387387	 1.0	 ;
29.077482035157626	 6.377259026737398	 44.69354382389415	 1.0	 ;
29.507437071499726	 6.351745022756682	 44.08993302559047	 1.0	 ;
29.937392107841827	 6.324625350974527	 43.50404715367748	 1.0	 ;
30.367347144183928	 6.295989689106101	 42.93520967808476	 1.0	 ;
30.797302180526028	 6.26592771486657	 42.382770944808776	 1.0	 ;
31.22725721686813	 6.234529105971107	 41.84610546955214	 1.0	 ;
31.65721225321023	 6.201883540134874	 41.32460941426532	 1.0	 ;
32.087167289552326	 6.1680806950730425	 40.8176982292671	 1.0	 ;
32.517122325894434	 6.1332102485007765	 40.32480444594108	 1.0	 ;
32.94707736223653	 6.09736187813325	 39.845375607120054	 1.0	 ;
33.377032398578635	 6.05041370985198	 39.44533379531266	 1.0	 ;
33.80698743492073	 5.967442713486588	 39.287746161623446	 1.0	 ;
34.236942471262836	 5.886304062798633	 39.126771134441306	 1.0	 ;
34.66689750760493	 5.806979660838152	 38.962532505348705	 1.0	 ;
35.09685254394704	 5.729449442683393	 38.79516410432868	 1.0	 ;
35.52680758028913	 5.65369140666727	 38.624810053560125	 1.0	 ;
35.95676261663124	 5.579681670307363	 38.451624813280624	 1.0	 ;
36.38671765297333	 5.507394523896598	 38.275773195934356	 1.0	 ;
36.81667268931544	 5.4368024948340725	 38.0974302572832	 1.0	 ;
37.24662772565753	 5.3678764216312205	 37.91678106762208	 1.0	 ;
